"lineid:integer:p:line[linename]","stationid:integer:p:station[stationname]","realkilo:integer","fakekilo:integer","kilocompanyid:integer::company[companyname]"
"内房","姉ヶ崎",151,,
"内房","長浦",205,,
"内房","袖ヶ浦",244,,
"内房","巌根",275,,
"内房","木更津",313,,
"内房","君津",383,,
"内房","青堀",420,,
"内房","大貫",466,,
"内房","佐貫町",507,,
"内房","上総湊",551,,
"内房","竹岡",602,,
"内房","浜金谷",640,,
"内房","保田",675,,
"内房","安房勝山",708,,
"内房","岩井",737,,
"内房","（房）富浦",798,,
"内房","那古船形",821,,
"内房","館山",859,,
"内房","九重",917,,
"内房","千倉",966,,
"内房","（房）千歳",986,,
"内房","南三原",1022,,
"内房","和田浦",1068,,
"内房","江見",1114,,
"内房","太海",1160,,
"内房","安房鴨川",1194,,
"外房","千葉",0,,
"外房","本千葉",14,,
"外房","蘇我",38,,
"外房","鎌取",88,,
"外房","誉田",126,,
"外房","土気",181,,
"外房","大網",229,,
"外房","永田",253,,
"外房","本納",277,,
"外房","新茂原",314,,
"外房","茂原",343,,
"外房","八積",389,,
"外房","上総一ノ宮",430,,
"外房","東浪見",462,,
"外房","太東",493,,
"外房","長者町",521,,
"外房","三門",537,,
"外房","大原",572,,
"外房","浪花",605,,
"外房","御宿",654,,
"外房","勝浦",709,,
"外房","鵜原",745,,
"外房","上総興津",772,,
"外房","行川アイランド",805,,
"外房","安房小湊",843,,
"外房","安房天津",877,,
"外房","安房鴨川",933,,
"東金","大網",0,,
"東金","福俵",33,,
"東金","東金",58,,
"東金","求名",96,,
"東金","成東",138,,
"久留里","木更津",0,,
"久留里","祗園",26,,
"久留里","上総清川",42,,
"久留里","東清川",61,,
"久留里","横田",93,,
"久留里","東横田",108,,
"久留里","馬来田",139,,
"久留里","下郡",152,,
"久留里","小櫃",182,,
"久留里","俵田",200,,
"久留里","久留里",226,,
"久留里","平山",257,,
"久留里","上総松丘",283,,
"久留里","上総亀山",322,,
,,,,
"山陽","神戸",0,,"本州"
"山陽","兵庫",18,,"本州"
"山陽","新長田",41,,"本州"
"山陽","鷹取",51,,"本州"
"山陽","須磨海浜公園",60,,"本州"
"山陽","須磨",73,,"本州"
"山陽","塩屋",102,,"本州"
"山陽","垂水",131,,"本州"
"山陽","舞子",151,,"本州"
"山陽","朝霧",170,,"本州"
"山陽","明石",194,,"本州"
"山陽","西明石",228,,"本州"
"山陽","（陽）大久保",256,,"本州"
"山陽","魚住",291,,"本州"
"山陽","土山",322,,"本州"
"山陽","東加古川",355,,"本州"
"山陽","加古川",391,,"本州"
"山陽","宝殿",424,,"本州"
"山陽","曽根",464,,"本州"
"山陽","ひめじ別所",484,,"本州"
"山陽","御着",505,,"本州"
"山陽","姫路",548,,"本州"
"山陽","英賀保",594,,"本州"
"山陽","はりま勝原",622,,"本州"
"山陽","網干",651,,"本州"
"山陽","竜野",710,,"本州"
"山陽","相生",755,,"本州"
"山陽","有年",831,,"本州"
"山陽","上郡",896,,"本州"
"山陽","三石",1024,,"本州"
"山陽","吉永",1095,,"本州"
"山陽","和気",1148,,"本州"
"山陽","熊山",1194,,"本州"
"山陽","万富",1235,,"本州"
"山陽","瀬戸",1280,,"本州"
"山陽","（陽）上道",1327,,"本州"
"山陽","東岡山",1361,,"本州"
"山陽","高島",1389,,"本州"
"山陽","西川原",1408,,"本州"
"山陽","岡山",1434,,"本州"
"山陽","北長瀬",1468,,"本州"
"山陽","庭瀬",1499,,"本州"
"山陽","中庄",1546,,"本州"
"山陽","倉敷",1593,,"本州"
"山陽","西阿知",1633,,"本州"
"山陽","新倉敷",1686,,"本州"
"山陽","金光",1749,,"本州"
"山陽","鴨方",1784,,"本州"
"山陽","里庄",1824,,"本州"
"山陽","笠岡",1871,,"本州"
"山陽","大門",1942,,"本州"
"山陽","東福山",1975,,"本州"
"山陽","福山",2017,,"本州"
"山陽","備後赤坂",2075,,"本州"
"山陽","松永",2124,,"本州"
"山陽","東尾道",2153,,"本州"
"山陽","尾道",2218,,"本州"
"山陽","糸崎",2309,,"本州"
"山陽","三原",2333,,"本州"
"山陽","本郷",2428,,"本州"
"山陽","河内",2551,,"本州"
"山陽","（陽）入野",2595,,"本州"
"山陽","白市",2639,,"本州"
"山陽","西高屋",2683,,"本州"
"山陽","（陽）西条",2729,,"本州"
"山陽","八本松",2789,,"本州"
"山陽","瀬野",2895,,"本州"
"山陽","中野東",2924,,"本州"
"山陽","安芸中野",2944,,"本州"
"山陽","海田市",2983,,"本州"
"山陽","向洋",3006,,"本州"
"山陽","天神川",3024,,"本州"
"山陽","広島",3047,,"本州"
"山陽","（陽）横川",3077,,"本州"
"山陽","西広島",3102,,"本州"
"山陽","新井口",3144,,"本州"
"山陽","五日市",3168,,"本州"
"山陽","廿日市",3202,,"本州"
"山陽","宮内串戸",3218,,"本州"
"山陽","阿品",3248,,"本州"
"山陽","宮島口",3265,,"本州"
"山陽","前空",3283,,"本州"
"山陽","大野浦",3314,,"本州"
"山陽","玖波",3364,,"本州"
"山陽","大竹",3408,,"本州"
"山陽","和木",3423,,"本州"
"山陽","岩国",3461,,"本州"
"山陽","南岩国",3507,,"本州"
"山陽","藤生",3534,,"本州"
"山陽","通津",3586,,"本州"
"山陽","由宇",3616,,"本州"
"山陽","（陽）神代",3668,,"本州"
"山陽","大畠",3719,,"本州"
"山陽","柳井港",3764,,"本州"
"山陽","柳井",3792,,"本州"
"山陽","田布施",3854,,"本州"
"山陽","岩田",3909,,"本州"
"山陽","（陽）島田",3959,,"本州"
"山陽","光",4007,,"本州"
"山陽","（陽）下松",4069,,"本州"
"山陽","櫛ケ浜",4115,,"本州"
"山陽","徳山",4149,,"本州"
"山陽","新南陽",4190,,"本州"
"山陽","福川",4219,,"本州"
"山陽","（陽）戸田",4257,,"本州"
"山陽","富海",4342,,"本州"
"山陽","防府",4414,,"本州"
"山陽","大道",4492,,"本州"
"山陽","四辻",4540,,"本州"
"山陽","新山口",4592,,"本州"
"山陽","嘉川",4632,,"本州"
"山陽","本由良",4677,,"本州"
"山陽","厚東",4780,,"本州"
"山陽","宇部",4845,,"本州"
"山陽","小野田",4880,,"本州"
"山陽","厚狭",4943,,"本州"
"山陽","埴生",5026,,"本州"
"山陽","小月",5088,,"本州"
"山陽","長府",5150,,"本州"
"山陽","新下関",5209,,"本州"
"山陽","幡生",5246,,"本州"
"山陽","下関",5281,,"本州"
"山陽","門司",5344,,"九州"
"岩徳","岩国",0,0,
"岩徳","西岩国",37,41,
"岩徳","川西",56,62,
"岩徳","柱野",85,94,
"岩徳","欽明路",152,167,
"岩徳","玖珂",171,188,
"岩徳","周防高森",206,227,
"岩徳","米川",244,268,
"岩徳","高水",288,317,
"岩徳","勝間",311,342,
"岩徳","大河内",333,366,
"岩徳","周防久保",347,382,
"岩徳","生野屋",380,418,
"岩徳","周防花岡",398,438,
"岩徳","櫛ケ浜",437,481,
"鹿児島1","門司港",0,,
"鹿児島1","小森江",40,,
"鹿児島1","門司",55,,
"鹿児島1","小倉",110,,
"鹿児島1","西小倉",118,,
"鹿児島1","九州工大前",153,,
"鹿児島1","戸畑",172,,
"鹿児島1","枝光",200,,
"鹿児島1","スペースワールド",211,,
"鹿児島1","八幡",222,,
"鹿児島1","黒崎",249,,
"鹿児島1","陣原",271,,
"鹿児島1","折尾",301,,
"鹿児島1","水巻",322,,
"鹿児島1","遠賀川",343,,
"鹿児島1","海老津",394,,
"鹿児島1","教育大前",446,,
"鹿児島1","赤間",465,,
"鹿児島1","東郷",507,,
"鹿児島1","東福間",539,,
"鹿児島1","福間",566,,
"鹿児島1","千鳥",585,,
"鹿児島1","古賀",606,,
"鹿児島1","ししぶ",620,,
"鹿児島1","新宮中央",634,,
"鹿児島1","福工大前",651,,
"鹿児島1","九産大前",681,,
"鹿児島1","香椎",698,,
"鹿児島1","千早",710,,
"鹿児島1","箱崎",750,,
"鹿児島1","吉塚",764,,
"鹿児島1","博多",782,,
"鹿児島1","竹下",809,,
"鹿児島1","笹原",833,,
"鹿児島1","南福岡",849,,
"鹿児島1","春日",861,,
"鹿児島1","大野城",874,,
"鹿児島1","水城",888,,
"鹿児島1","都府楼南",910,,
"鹿児島1","二日市",924,,
"鹿児島1","天拝山",943,,
"鹿児島1","原田",979,,
"鹿児島1","けやき台",999,,
"鹿児島1","基山",1014,,
"鹿児島1","弥生が丘",1035,,
"鹿児島1","田代",1056,,
"鹿児島1","鳥栖",1068,,
"鹿児島1","肥前旭",1104,,
"鹿児島1","久留米",1139,,
"鹿児島1","荒木",1188,,
"鹿児島1","西牟田",1226,,
"鹿児島1","羽犬塚",1261,,
"鹿児島1","筑後船小屋",1297,,
"鹿児島1","瀬高",1322,,
"鹿児島1","南瀬高",1352,,
"鹿児島1","渡瀬",1391,,
"鹿児島1","吉野",1419,,
"鹿児島1","銀水",1443,,
"鹿児島1","大牟田",1475,,
"鹿児島1","（鹿）荒尾",1516,,
"鹿児島1","南荒尾",1548,,
"鹿児島1","長洲",1594,,
"鹿児島1","大野下",1641,,
"鹿児島1","玉名",1686,,
"鹿児島1","肥後伊倉",1728,,
"鹿児島1","木葉",1767,,
"鹿児島1","田原坂",1802,,
"鹿児島1","植木",1846,,
"鹿児島1","西里",1888,,
"鹿児島1","崇城大学前",1917,,
"鹿児島1","上熊本",1933,,
"鹿児島1","熊本",1966,,
"鹿児島1","川尻",2019,,
"鹿児島1","富合",2053,,
"鹿児島1","宇土",2075,,
"鹿児島1","松橋",2123,,
"鹿児島1","小川",2185,,
"鹿児島1","有佐",2235,,
"鹿児島1","千丁",2276,,
"鹿児島1","新八代",2295,,
"鹿児島1","八代",2323,,
